Rk,Player,FG,FGA,FG%,3P,3PA,3P%,STL,BLK,TOV,PF,PTS,Player-additional
1,Kevin Porter Jr.,6.3,13.5,.465,1.2,3.8,.322,2.2,0.5,2.9,2.3,17.4,porteke02
2,Ryan Rollins,6.6,13.9,.472,2.5,6.1,.406,1.5,0.4,2.7,2.6,17.3,rolliry01
3,A.J. Green,3.4,7.9,.424,3.0,7.1,.419,0.5,0.1,1.0,2.3,10.4,greenaj01
4,Giannis Antetokounmpo,10.4,16.6,.624,0.4,1.3,.333,0.9,0.7,3.2,2.4,27.6,antetgi01
5,Myles Turner,4.0,9.1,.440,2.1,5.4,.383,0.7,1.6,1.2,2.6,11.9,turnemy01
6,Ousmane Dieng,4.3,10.2,.423,1.5,4.5,.331,0.8,0.3,2.2,1.9,11.0,diengou01
7,Kyle Kuzma,4.9,10.0,.492,1.2,3.5,.347,0.7,0.4,1.7,1.9,13.0,kuzmaky01
8,Cormac Ryan,4.8,9.3,.520,2.5,5.4,.458,1.0,0.3,1.5,2.5,14.3,ryanco01
9,Bobby Portis,5.5,11.2,.488,2.0,4.4,.456,0.6,0.2,1.0,1.6,13.7,portibo01
10,Taurean Prince,3.3,7.3,.450,2.3,5.4,.436,0.6,0.2,1.2,1.8,9.2,princta02
11,Gary Trent Jr.,2.8,7.3,.387,1.9,5.3,.360,0.5,0.0,0.6,1.3,8.1,trentga02
12,Jericho Sims,2.2,2.8,.784,0.0,0.0,,0.3,0.3,1.1,2.2,5.0,simsje01
13,Cam Thomas,3.7,8.5,.431,0.8,2.8,.275,0.3,0.1,1.4,0.7,10.7,thomaca02
14,Pete Nance,2.1,4.1,.515,1.1,2.5,.420,0.3,0.3,0.6,1.3,5.4,nancepe01
15,Cole Anthony,2.8,6.6,.424,0.6,2.1,.306,0.6,0.3,1.9,2.1,6.7,anthoco01
16,Gary Harris,1.0,2.2,.442,0.6,1.4,.412,0.6,0.2,0.4,1.1,2.7,harriga01
17,Amir Coffey,0.9,1.8,.473,0.2,0.8,.280,0.1,0.1,0.1,0.5,2.4,coffeam01
18,Andre Jackson Jr.,0.8,2.5,.328,0.3,1.3,.250,0.4,0.1,0.6,0.9,2.4,jacksan01
19,Thanasis Antetokounmpo,0.4,0.9,.469,0.0,0.1,.000,0.4,0.2,0.3,0.5,1.4,antetth01
20,Mark Sears,0.9,1.9,.462,0.6,1.1,.500,0.0,0.0,0.6,0.6,3.1,searsma01
21,Alex Antetokounmpo,0.5,1.3,.375,0.3,1.2,.286,0.0,0.2,0.2,0.2,3.2,antetal01